Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Afghanistan,AFG,5360,5610,5670,5720,5930,6250,7040,7710,8220,8990,7710,6420,8190,8430,8340,8500,8650,8800,9800,9990,11510,11530,11380,11280,11480,10850,10630,10330,10540,10920,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Albania,ALB,2200,2230,2220,2360,3020,3090,2910,2710,2570,2640,2680,2620,2550,2580,2490,2470,2420,2300,2140,2030,2040,2030,2070,2070,2100,2110,2100,2050,2010,1850,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Algeria,DZA,4360,4180,4370,4450,4270,4280,4310,4300,4540,4750,4760,4800,4650,4800,5020,5050,5190,5290,5220,5530,5820,6020,6350,6560,6940,7040,6970,6880,6820,6890,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Angola,AGO,15040,15090,15150,15070,15100,15010,13680,13560,14980,13950,14390,14680,15700,17810,17830,17720,16430,17490,16670,16730,17500,18020,17170,17640,17060,17710,17700,18000,16220,18050,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Antigua and Barbuda,ATG,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,20,20,10,10,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Argentina,ARG,84680,83650,84630,83270,83900,83240,80600,79840,77140,79230,79490,78840,81920,88150,89160,89140,91140,91770,90560,85580,77640,76880,79420,80960,81730,81560,82830,86590,85430,84990,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Armenia,ARM,810,800,710,630,620,610,610,610,560,560,570,590,610,640,670,670,690,720,730,670,660,650,680,760,780,790,810,760,680,660,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Australia,AUS,103350,102440,100150,98310,100000,97510,91390,91070,93830,108450,117540,126110,118970,80490,101080,81010,99170,94300,77470,80690,68250,118990,118460,80150,89670,85130,68000,89150,88050,70790,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Austria,AUT,6570,6560,6430,6190,6090,5750,5740,5650,5510,5490,5390,5350,5280,5130,5040,5020,4950,4920,4960,4910,4980,4960,4870,4830,4830,4840,4830,4830,4710,4640,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Azerbaijan,AZE,3180,3120,2650,2530,2380,2400,2470,2610,2720,2830,2920,3080,3170,3310,3410,3500,3650,3720,3810,3880,3960,3950,3980,4020,4040,4060,4020,3990,3930,3900,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Bahamas, The",BHS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,20,10,20,10,10,10,10,10,10,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bahrain,BHR,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bangladesh,BGD,50340,50100,50380,50140,50640,51220,50720,51130,50520,52240,52650,52490,53240,53520,52650,53740,54350,54720,56890,57490,58330,58730,58820,58940,59210,59260,58370,60510,60490,60740,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Barbados,BRB,60,60,60,50,50,50,50,50,50,40,40,40,30,30,30,30,20,20,20,20,30,20,20,30,30,20,30,30,30,30,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Belarus,BLR,16130,15820,13970,13360,12660,11880,11190,10820,10670,10420,9750,9510,9220,9020,8800,8820,8830,8780,8750,8950,8990,9060,9260,9390,9380,9380,9250,9340,9270,9180,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Belgium,BEL,7780,7840,7710,7660,7630,7750,7710,7550,7460,7800,7500,7410,7120,6810,6690,6590,6510,6440,6410,6420,6380,6330,6230,6130,6220,6290,6250,6030,6090,6040,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Belize,BLZ,100,100,120,100,100,80,80,80,90,100,90,100,100,110,100,100,110,130,140,150,150,170,160,190,150,160,180,180,190,200,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Benin,BEN,1750,1830,1860,1860,2010,1830,2190,2290,2440,2330,2630,2200,2440,2350,2300,2650,2500,2570,2460,2530,2560,2660,2710,2870,2800,2850,2970,2980,3060,3110,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bhutan,BTN,520,530,500,500,490,540,520,520,510,540,510,460,460,460,460,530,510,520,450,480,480,470,460,470,440,420,420,420,400,400,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bolivia,BOL,11180,11340,11590,11810,12080,12340,12320,12650,13130,13730,13980,13540,14570,14480,15480,16140,15970,16100,16260,16650,18330,17790,18020,18220,17730,18220,18810,18780,18850,19880,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bosnia and Herzegovina,BIH,1930,1860,1840,1760,1650,1360,1140,1390,1450,1510,1570,1520,1440,1550,1620,1650,1800,1700,1650,1650,1640,1590,1550,1550,1530,1560,1540,1520,1480,1450,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Botswana,BWA,5320,4970,4760,4560,4800,5290,5900,5640,5190,5160,4990,5940,5930,2560,2830,3370,4330,3380,7540,3290,8710,10800,4840,4270,2780,2530,2100,3480,2420,1640,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Brazil,BRA,242130,250260,254460,254580,259450,264090,251710,256380,262050,263870,268590,280000,295300,307820,323270,328430,322110,321150,318410,321000,335810,333930,334260,330240,333330,337890,339750,335960,330340,334930,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Brunei Darussalam,BRN,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bulgaria,BGR,5900,5600,4860,3780,3040,2810,2840,2600,2620,2760,2730,2540,2230,2360,2400,2310,2180,2230,2130,2010,1890,1900,1900,1790,1900,1860,1840,1840,1760,1690,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Burkina Faso,BFA,6210,6410,6570,6700,6870,7090,7100,7390,7440,7590,8140,7800,8100,10090,10380,10660,10540,10770,11110,11490,12030,12240,12260,12600,12860,13010,13670,13840,13960,14320,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Burundi,BDI,600,610,610,590,540,550,540,560,500,500,510,530,510,530,560,590,640,680,740,810,910,990,990,1190,1150,1140,1310,1590,1590,1330,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cabo Verde,CPV,40,40,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cambodia,KHM,11990,11580,11880,12560,11320,13150,13150,13280,13200,14030,13170,13150,13350,14500,14190,15360,16240,16530,16710,17120,17290,18050,17500,17340,16840,16720,17170,17610,17500,17220,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cameroon,CMR,6050,6020,6040,6040,6050,6020,6110,6310,6830,7070,7870,7400,7300,7990,7240,8010,7470,7370,6790,6510,6790,6670,6890,7150,7080,7250,7270,7040,7130,7070,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Canada,CAN,23860,23770,24490,24320,24420,25680,26610,26510,27450,26530,26240,26920,27740,27290,28820,29120,28830,27650,26670,25400,25290,24460,24610,25190,24810,24110,23830,24210,24140,24060,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Central African Republic,CAF,8360,8550,8560,8570,8640,8710,9680,9780,10730,9620,11050,9220,8160,10630,9390,9910,9990,10220,10760,8600,9630,10330,8940,9560,9340,9490,10390,9670,9940,8900,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Chad,TCD,7970,12210,12740,13290,13880,14550,16110,16600,17150,18310,19860,18470,19860,21060,22080,23420,24290,25710,26780,27690,29400,31090,32810,34410,36070,39050,41750,43480,46190,48230,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Chile,CHL,6370,6440,6600,6820,7060,7180,7270,7500,7600,7520,7300,7210,7110,7070,7130,7100,7000,6580,6860,6700,6870,6760,6770,5550,5330,5020,5170,5160,5400,5470,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,China,CHN,336950,341210,341330,338760,346380,366270,386770,349740,366920,373880,372890,362550,353360,344470,353350,356420,354810,345700,350410,348440,346060,341010,338530,337580,337910,341380,342250,335870,329750,319730,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Colombia,COL,41850,41440,42030,42690,43380,43390,43910,43250,43550,41790,42190,42960,42970,43820,44350,44490,44230,45380,45530,45290,46280,43100,40340,39700,39380,39200,39810,41220,44050,45630,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Comoros,COM,150,150,160,160,160,160,160,170,170,170,150,160,170,160,160,170,180,160,180,190,200,210,220,220,230,230,240,250,250,260,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Congo, Dem. Rep.",COD,12380,12260,12340,12260,12210,12120,9580,9390,9770,8900,8710,9490,11860,12950,13800,13570,13750,12100,12800,12670,13110,12340,12420,13110,12840,13300,13320,13920,13240,13450,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Congo, Rep.",COG,980,980,980,990,990,990,410,440,460,470,380,450,690,1100,1180,1400,1450,1330,1340,1260,1470,1500,1420,1490,1280,1460,1490,1460,1510,1480,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Costa Rica,CRI,3390,3360,3310,3300,2980,2630,2550,2490,2500,2370,2280,2190,2090,2000,1910,2000,1940,2110,2240,2270,2280,2370,2280,2330,2320,2330,2470,2500,2540,2560,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cote d'Ivoire,CIV,2700,2780,2840,2750,2870,2930,2660,2710,2710,2680,2770,3040,3350,3300,2640,3430,3290,3320,3120,3030,2970,3120,3250,3500,3080,3180,3700,3230,3120,2950,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Croatia,HRV,2340,2270,2080,1990,1900,1780,1680,1660,1620,1660,1590,1610,1600,1610,1710,1680,1720,1670,1560,1560,1490,1500,1510,1430,1450,1410,1410,1420,1320,1320,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cuba,CUB,9100,8980,9100,8390,8950,8580,9060,8920,8830,8410,8280,8060,8110,8230,7790,7170,7400,7410,7620,8180,7990,8280,8240,8250,8160,7650,7820,7410,7480,7230,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cyprus,CYP,150,150,150,160,160,170,170,170,170,170,180,190,210,200,190,180,180,180,180,180,180,180,180,170,170,160,170,180,180,180,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Czechia,CZE,7740,7400,6600,5760,5000,4720,4600,4340,4030,3930,3720,3690,3510,3400,3280,3200,3140,3160,3130,3010,2950,2920,2910,2920,2950,3000,3020,3010,2920,2920,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Denmark,DNK,6850,6900,6890,7000,6840,6850,6820,6770,6820,6530,6550,6730,6580,6480,6370,6270,6150,6260,6090,5990,6220,6160,6140,6090,6020,6040,6060,6010,6040,6010,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Djibouti,DJI,360,360,360,370,380,410,430,430,440,460,460,460,460,460,470,470,460,460,460,460,460,460,470,470,470,470,470,470,470,470,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Dominica,DMA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Dominican Republic,DOM,4230,4480,4240,4450,4380,4450,4650,4730,4820,4380,4200,4490,4660,4540,5000,4770,4820,5460,5610,5850,5950,5990,5970,6000,6020,6000,6050,6150,6290,6420,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ecuador,ECU,8660,8590,9400,9850,10220,10360,10640,11130,10240,10440,9120,9810,10110,9980,10490,10060,10070,9770,9770,10460,10580,10400,10360,10380,9280,8610,8570,8570,8050,8280,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Egypt, Arab Rep.",EGY,11270,11980,12490,12760,13000,13140,13400,14100,13210,14640,15100,14760,15940,16040,16360,16350,16940,17630,17820,15810,14880,16110,16730,16090,15990,15380,15570,14770,13180,16800,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,El Salvador,SLV,1950,2000,2020,1930,2020,1800,2050,1880,1710,1840,1710,1960,2090,2000,2010,2010,2100,2190,2230,2130,1980,1670,1820,1470,1690,1650,1520,1460,1410,1380,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Equatorial Guinea,GNQ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Eritrea,ERI,2180,2190,2250,1850,1880,1910,2170,2490,2620,2690,2790,2590,2560,2650,2690,2730,2620,2820,2830,2830,2740,2870,2890,2920,2930,2940,2980,2970,2990,3000,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Estonia,EST,1760,1720,1800,1590,1270,1170,1040,940,900,860,750,720,740,700,710,700,690,680,670,650,650,650,660,670,690,700,630,640,640,640,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Eswatini,SWZ,710,730,750,630,640,660,660,650,640,610,600,530,560,610,610,620,570,610,600,590,630,630,630,630,630,610,600,610,610,640,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ethiopia,ETH,34430,34610,35480,31430,31700,31730,33190,34400,37620,37160,34960,36800,42100,40740,41380,43300,46110,51550,53840,56320,59030,57740,59880,61760,63790,65180,67010,68460,68480,69130,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Fiji,FJI,600,610,620,670,700,730,720,720,710,690,690,700,670,660,660,660,660,670,660,660,650,650,650,650,250,250,260,280,290,330,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Finland,FIN,3390,3220,3130,3090,3050,2910,2890,2900,2830,2740,2670,2620,2600,2560,2480,2450,2440,2380,2360,2340,2350,2320,2310,2310,2310,2310,2300,2240,2150,2110,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,France,FRA,50390,48970,47870,47340,47360,47310,47140,46460,46100,45990,48120,48020,46780,45350,44770,44430,44310,44840,45030,44430,43900,42900,42640,42780,42940,43010,42820,42110,41610,40720,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Gabon,GAB,170,170,170,180,180,180,130,140,140,140,130,120,140,160,200,170,200,200,230,170,190,230,220,230,190,200,210,220,180,230,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Gambia, The",GMB,490,500,490,470,510,520,540,500,520,510,530,480,460,520,570,600,620,610,720,990,1070,750,850,900,930,1050,920,920,750,910,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Georgia,GEO,1510,1480,1280,1160,1130,1150,1170,1190,1210,1280,1350,1360,1410,1450,1410,1420,1330,1240,1210,1180,1210,1230,1350,1380,1420,1190,1200,1160,1100,1070,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Germany,DEU,52060,48570,43370,41880,41310,41150,40770,40600,39390,38850,37960,37670,37050,36020,35030,34830,34060,34070,34700,34620,34200,33950,33980,34270,34570,34260,33800,33600,32600,31900,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ghana,GHA,3520,3680,3610,3620,3650,3690,3920,4000,4550,3970,4570,4010,3960,4270,3870,4750,4480,4260,4340,4220,4430,4920,4600,4970,4920,5160,5250,5390,5340,5410,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Greece,GRC,4700,4590,4530,4580,4610,4650,4700,4710,4690,4650,4680,4610,4620,4580,4700,4600,4590,4690,4630,4630,4700,4640,4630,4400,4300,4210,4200,4220,3900,3850,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Grenada,GRD,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guatemala,GTM,3360,3440,3670,3900,3770,3770,3750,3810,3810,3990,4010,4170,4320,4120,4180,4450,4450,4810,5000,5300,5480,5440,5540,5620,5820,5970,6120,6220,6310,6460,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guinea,GIN,3980,4140,4310,4500,4720,4940,4670,4830,5300,5200,5540,5870,6440,6530,6580,7300,7460,7670,7940,8260,10020,10670,11400,11640,11900,12030,13240,13360,13440,14250,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guinea-Bissau,GNB,700,700,720,730,740,760,730,710,710,770,780,910,930,930,880,870,950,960,930,990,1040,1020,1120,1110,1060,1130,1130,1140,1190,1200,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guyana,GUY,630,830,890,1010,990,1190,1180,1220,1120,1220,1000,1050,940,1110,1000,940,900,930,1020,1060,1110,1170,1200,1340,1480,1540,1230,1380,1340,1610,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Haiti,HTI,2150,2300,2650,2510,2490,2500,2520,2660,2670,2700,2920,2930,2950,2970,2950,2960,2950,2970,2960,2980,2990,3010,3010,3020,3020,3050,3140,3150,3140,3150,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Honduras,HND,3850,3820,3760,3340,3640,3380,3370,3270,3110,2760,2860,2980,3340,3990,3900,4110,3970,4010,4090,4290,4300,4350,4340,4420,4460,4420,4510,4510,4610,4630,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Hungary,HUN,5000,4880,4300,3730,3290,2960,3070,3020,2910,2990,2950,2820,2780,2800,2760,2640,2590,2540,2500,2450,2400,2360,2290,2410,2440,2470,2500,2490,2530,2540,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Iceland,ISL,330,330,320,320,320,310,320,320,320,320,310,300,290,290,280,290,300,300,300,310,310,310,300,290,310,320,310,310,310,300,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,India,IND,433940,437560,440170,443690,446370,448120,451530,452400,456390,457740,456450,458380,449350,454750,459040,470030,476480,485860,490360,481090,484130,487580,484400,487510,487660,489140,491430,495720,499610,500220,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Indonesia,IDN,78110,77380,82720,81360,80940,84930,85980,83970,85890,85860,84300,82830,84080,82620,85320,84400,85140,85250,86010,87560,88620,88930,90660,86480,89040,89760,89270,91740,91020,88960,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Iran, Islamic Rep.",IRN,21390,20870,22460,22630,22860,23220,23860,23890,24540,24060,23280,23040,22590,22740,23020,23370,23490,23550,20990,21340,21600,20800,21010,20880,16000,16970,17510,16050,16290,16690,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Iraq,IRQ,3940,2840,3290,3890,3990,3780,3050,3400,3570,3470,3410,3350,3440,2710,2980,3430,3550,3720,3800,4460,4520,4760,4890,4610,4620,3390,3540,3700,3410,4950,..,..
